ST,PWGTP,AGEP,WAGP,WKHP,YOEP,FOD1P,NATIVITY,WAOB,weeks,race,hispanic,ftfy,fulltime,female,baby
01,119,39,140000,40,,2306,1,1,1,1,0,1,1,1,0
01,65,34,267000,40,,3700,1,1,1,1,0,1,1,0,
01,122,30,132000,40,,6203,1,1,1,1,0,1,1,0,
01,95,39,100000,40,,2405,1,1,1,1,0,1,1,1,0
01,97,34,40000,40,,6203,1,1,1,1,0,1,1,1,0
01,191,32,35000,40,,6200,1,1,1,2,0,1,1,1,0
01,62,31,46000,40,,6201,1,1,1,1,0,1,1,1,1
01,70,32,28600,30,,6201,1,1,1,1,0,0,0,1,1
01,107,32,41000,40,,5098,1,1,1,2,0,1,1,1,0
01,123,33,47000,41,,3600,1,1,1,2,0,1,1,0,
01,23,33,50000,40,,6200,1,1,1,1,0,1,1,0,
01,73,30,32000,40,,2307,1,1,4,1,0,0,1,1,0
01,89,30,70000,45,,6203,1,1,1,1,0,1,1,1,0
01,29,34,78000,40,1994,2408,2,4,1,3,0,1,1,1,1
01,18,33,28600,40,,6203,1,1,1,1,0,1,1,1,0
01,161,35,55000,40,,6203,1,1,1,1,0,1,1,0,
01,94,40,45000,40,,2310,1,1,1,2,0,1,1,1,0
01,76,34,42000,40,,5404,1,1,1,1,0,1,1,1,0
01,73,40,86000,40,,6299,1,1,1,1,0,1,1,0,
01,72,38,50000,40,,2408,1,1,1,1,0,1,1,0,
01,126,32,101000,50,,4101,1,1,1,1,0,1,1,0,
01,56,31,38000,40,,6107,1,1,1,1,0,1,1,1,0
01,38,38,79000,50,,2408,1,1,1,1,0,1,1,0,
01,101,30,40000,48,,6204,1,1,1,1,0,1,1,0,
01,183,33,56000,40,,2406,1,1,1,1,0,1,1,0,
01,89,35,53000,45,,1104,1,1,1,1,0,1,1,0,
01,98,36,18000,35,1974,6207,1,5,1,1,0,0,0,1,0
01,64,31,36000,40,,5506,1,1,1,2,0,1,1,0,
01,48,37,267000,40,,2405,1,1,1,1,0,1,1,0,
01,14,38,35000,50,,1105,1,1,1,1,0,1,1,0,
01,19,32,35800,40,,1902,1,1,1,1,0,1,1,1,0
01,255,37,38000,45,,2304,1,1,1,1,0,1,1,1,0
01,62,35,42000,40,,6203,1,1,1,1,0,1,1,0,
01,90,33,42000,45,,2313,1,1,1,1,0,1,1,1,0
01,76,40,43000,40,,2312,1,1,1,1,0,1,1,1,0
01,73,35,49600,40,,2300,1,1,1,1,0,1,1,1,0
01,77,38,50000,55,,6105,1,1,1,1,0,1,1,1,0
01,19,30,50000,40,,6107,1,1,1,1,0,1,1,1,0
01,58,35,100000,50,,1102,1,1,1,1,0,1,1,0,
01,70,36,30000,50,,6107,1,1,1,1,0,1,1,1,0
01,112,33,56000,40,,1302,1,1,1,1,0,1,1,0,
01,81,39,120000,50,,2406,1,1,1,1,0,1,1,0,
01,75,36,140000,40,,2310,1,1,1,1,0,1,1,1,1
01,21,32,22000,40,,3700,1,1,1,1,0,1,1,1,1
01,53,38,17600,36,,6000,1,1,4,1,0,0,1,0,
01,34,34,33000,45,,6211,1,1,1,1,0,1,1,0,
01,37,31,40000,38,,6206,1,1,4,1,0,0,1,0,
01,86,38,30000,35,,3700,1,1,1,1,0,0,0,1,0
01,19,33,500,2,,2100,1,1,6,1,0,0,0,0,
01,122,40,43000,40,,2312,1,1,1,1,0,1,1,1,0
01,65,30,32000,40,,6203,1,1,1,1,0,1,1,1,0
01,61,35,75000,50,,1901,1,1,1,1,0,1,1,0,
01,70,34,30000,40,,1901,1,1,1,1,0,1,1,1,0
01,81,31,21000,40,,3401,1,1,3,1,0,0,1,0,
01,91,38,65000,50,,1901,1,1,1,2,0,1,1,0,
01,117,34,125000,40,,2300,1,1,1,1,0,1,1,1,0
01,61,32,52000,40,,5404,1,1,1,2,0,1,1,1,0
01,333,32,42500,55,,1302,1,1,1,1,0,1,1,0,
01,68,37,24000,40,,6203,1,1,1,2,0,1,1,1,0
01,96,38,50000,40,,2100,1,1,1,1,0,1,1,0,
01,140,38,102000,40,,1902,1,1,1,1,0,1,1,0,
01,77,37,49000,60,,5301,1,1,1,1,0,1,1,0,
01,93,39,83000,40,,6203,1,1,1,1,0,1,1,1,0
01,93,37,85000,40,,5098,1,1,1,1,0,1,1,0,
01,95,35,3000,20,,6203,1,1,1,1,0,0,0,1,1
01,93,40,267000,55,,2414,1,1,1,1,0,1,1,0,
01,294,33,68000,60,,2100,1,1,1,2,0,1,1,0,
01,91,37,267000,50,,2414,1,1,1,1,0,1,1,0,
01,214,34,7600,20,,5200,1,1,5,1,0,0,0,1,0
01,154,31,22000,40,,6200,1,1,1,1,0,1,1,0,
01,82,39,27600,40,,1902,1,1,1,1,0,1,1,1,0
01,83,31,45000,40,,6206,1,1,1,1,0,1,1,1,0
01,92,31,45000,50,,4801,1,1,1,1,0,1,1,0,
01,282,39,60000,65,,5301,1,1,1,2,0,1,1,0,
01,108,34,50000,40,,6201,1,1,2,1,0,0,1,0,
01,120,30,40500,50,,6203,1,1,1,1,0,1,1,0,
01,58,36,80000,40,,2102,1,1,1,1,0,1,1,1,1
01,64,39,55000,40,,1901,1,1,1,1,0,1,1,1,0
01,156,34,30000,40,,6203,1,1,1,1,1,1,1,0,
01,65,33,45000,40,,6203,1,1,1,1,0,1,1,1,0
01,88,31,125000,45,,3301,1,1,1,1,0,1,1,1,0
01,87,31,63000,41,,6107,1,1,1,1,0,1,1,1,0
01,60,37,80000,45,,6206,1,1,1,1,0,1,1,1,0
01,93,40,145000,45,,6108,1,1,1,1,0,1,1,0,
01,65,37,42000,50,,5503,1,1,1,1,0,1,1,0,
01,102,32,49000,45,,2100,1,1,1,1,0,1,1,0,
01,89,32,62000,40,,1903,1,1,3,1,0,0,1,1,1
01,73,38,32000,40,2007,2407,2,3,1,1,1,1,1,0,
01,12,34,75000,45,,2102,1,1,1,1,0,1,1,0,
01,21,30,32000,52,,6200,1,1,1,1,0,1,1,1,0
