hsgpa,psu,entercollege,privatehs,hidad,himom,over475
57,485,0,0,0,0,1
62,458,0,0,0,0,0
55,484,0,0,0,0,1
65,483,0,0,0,0,1
52,543,0,0,0,0,1
51,336.5,0,0,0,0,0
59,505.5,1,0,0,0,1
58,556,1,0,0,1,1
63,600,0,0,0,0,1
56,512,1,0,1,1,1
55,513,1,0,0,0,1
57,566.5,1,0,0,0,1
52,366,0,0,0,0,0
56,406,0,0,0,0,0
56,518,1,0,0,0,1
68,475,1,0,1,0,1
62,505,1,0,0,1,1
60,548.5,1,0,0,1,1
63,599,0,0,0,0,1
59,668,1,0,0,0,1
54,492.5,1,0,0,0,1
60,447,1,0,0,0,0
59,489,1,0,0,1,1
63,390,0,0,0,0,0
61,469.5,0,0,0,0,0
57,511,0,0,0,0,1
56,353,0,0,0,0,0
61,431,0,0,0,0,0
53,440.5,0,0,0,0,0
50,400.5,0,0,0,0,0
54,362,0,0,0,0,0
68,333.5,0,0,0,0,0
63,335,0,0,0,0,0
56,337.5,0,0,0,0,0
54,480,0,0,0,0,1
58,452.5,0,0,0,0,0
67,529,1,0,0,0,1
60,484.5,0,0,0,0,1
61,472.5,0,0,0,0,0
61,429.5,0,0,0,0,0
56,436.5,0,0,0,0,0
65,423.5,0,0,0,0,0
64,483.5,1,0,0,0,1
0,467.5,0,0,0,0,0
0,473,0,0,0,0,0
62,327,0,0,0,0,0
55,346,1,0,0,0,0
